Zone, Tile_no, Seg_no, Reso, Seg_d_size, Seg_d_time, Bitrate, Bitrate1, Buf_lev, Buf_limit, Elapsed, Ref_vp, Local_avg,QoE,QoE1,Z1,Z2,Z3,delay,jitter,loss
Z1,0,1,720,9960.0,0.324453,30697.82064,30736.0,1.0,2,3.7e-05,30697.82064,30697.82064,1732227.6590196,4895870.4746274,224234.1393726,5250879.2048626,36887307.3609406,100,0,0
Z2,0,1,720,8952.0,0.323286,27690.651621,27712.0,1.0,2,3.7e-05,13845.325811,13845.325811,1732227.6590196,4895870.4746274,224234.1393726,5250879.2048626,36887307.3609406,100,0,0
Z2,1,1,720,5424.0,0.100956,53726.375847,54240.0,1.0,2,3.7e-05,17908.791949,17908.791949,1732227.6590196,4895870.4746274,224234.1393726,5250879.2048626,36887307.3609406,100,0,0
Z2,2,1,720,7080.0,0.100909,70162.225371,70800.0,1.0,2,3.7e-05,17540.556343,17540.556343,1732227.6590196,4895870.4746274,224234.1393726,5250879.2048626,36887307.3609406,100,0,0
Z2,3,1,720,18976.0,0.100965,187946.318031,189760.0,1.0,2,3.7e-05,37589.263606,37589.263606,1732227.6590196,4895870.4746274,224234.1393726,5250879.2048626,36887307.3609406,100,0,0
Z2,4,1,720,8720.0,0.100865,86452.188569,87200.0,1.0,2,3.7e-05,17290.437714,17290.437714,1732227.6590196,4895870.4746274,224234.1393726,5250879.2048626,36887307.3609406,100,0,0
Z2,5,1,720,8336.0,0.100962,82565.717795,83360.0,1.0,2,3.7e-05,16513.143559,16513.143559,1732227.6590196,4895870.4746274,224234.1393726,5250879.2048626,36887307.3609406,100,0,0
Z2,6,1,720,6376.0,0.100946,63162.482912,63760.0,1.0,2,3.7e-05,12632.496582,12632.496582,1732227.6590196,4895870.4746274,224234.1393726,5250879.2048626,36887307.3609406,100,0,0
Z2,7,1,720,6872.0,0.100939,68080.72202,68720.0,1.0,2,3.7e-05,13616.144404,13616.144404,1732227.6590196,4895870.4746274,224234.1393726,5250879.2048626,36887307.3609406,100,0,0
Z3,0,1,720,7080.0,0.323985,21852.863558,21912.0,1.0,2,3.7e-05,4370.572712,4370.572712,1732227.6590196,4895870.4746274,224234.1393726,5250879.2048626,36887307.3609406,100,0,0
Z3,1,1,720,7080.0,0.100888,70176.829752,70800.0,1.0,2,3.7e-05,14035.36595,14035.36595,1732227.6590196,4895870.4746274,224234.1393726,5250879.2048626,36887307.3609406,100,0,0
Z3,2,1,720,5664.0,0.100885,56143.133271,56640.0,1.0,2,3.7e-05,11228.626654,11228.626654,1732227.6590196,4895870.4746274,224234.1393726,5250879.2048626,36887307.3609406,100,0,0
Z3,3,1,720,7080.0,0.100919,70155.273041,70800.0,1.0,2,3.7e-05,14031.054608,14031.054608,1732227.6590196,4895870.4746274,224234.1393726,5250879.2048626,36887307.3609406,100,0,0
Z3,4,1,720,7080.0,0.100962,70125.393712,70800.0,1.0,2,3.7e-05,14025.078742,14025.078742,1732227.6590196,4895870.4746274,224234.1393726,5250879.2048626,36887307.3609406,100,0,0
Z3,5,1,720,5664.0,0.10093,56118.101655,56640.0,1.0,2,3.7e-05,11223.620331,11223.620331,1732227.6590196,4895870.4746274,224234.1393726,5250879.2048626,36887307.3609406,100,0,0
Z3,6,1,720,7080.0,0.100904,70165.702053,70800.0,1.0,2,3.7e-05,14033.140411,14033.140411,1732227.6590196,4895870.4746274,224234.1393726,5250879.2048626,36887307.3609406,100,0,0
Z3,7,1,720,7080.0,0.100955,70130.256055,70800.0,1.0,2,3.7e-05,14026.051211,14026.051211,1732227.6590196,4895870.4746274,224234.1393726,5250879.2048626,36887307.3609406,100,0,0
Z3,8,1,720,5664.0,0.100957,56103.093396,56640.0,1.0,2,3.7e-05,11220.618679,11220.618679,1732227.6590196,4895870.4746274,224234.1393726,5250879.2048626,36887307.3609406,100,0,0
Z3,9,1,720,7080.0,0.100923,70152.492494,70800.0,1.0,2,3.7e-05,14030.498499,14030.498499,1732227.6590196,4895870.4746274,224234.1393726,5250879.2048626,36887307.3609406,100,0,0
Z3,10,1,720,12904.0,0.100959,127814.261235,129040.0,1.0,2,3.7e-05,25562.852247,25562.852247,1732227.6590196,4895870.4746274,224234.1393726,5250879.2048626,36887307.3609406,100,0,0
Z3,11,1,720,17344.0,0.101067,171608.932688,171720.0,1.0,2,3.7e-05,34321.786538,34321.786538,1732227.6590196,4895870.4746274,224234.1393726,5250879.2048626,36887307.3609406,100,0,0
Z3,12,1,720,16912.0,0.10102,167412.393585,167440.0,1.0,2,3.7e-05,33482.478717,33482.478717,1732227.6590196,4895870.4746274,224234.1393726,5250879.2048626,36887307.3609406,100,0,0
