Zone, Tile_no, Seg_no, Reso, Seg_d_size, Seg_d_time, Bitrate, Bitrate1, Buf_lev, Buf_limit, Elapsed, Ref_vp, Local_avg
Z1, 0, 1, 720, 9960.000000, 0.190688, 52231.918107, 52416.000000, 1.000000, 2, 0.000061, 52231.918107, 52231.918107
Z2, 0, 1, 720, 8952.000000, 0.189047, 47353.303676, 47360.000000, 1.000000, 2, 0.000061, 23676.651838, 23676.651838
Z2, 1, 1, 720, 5424.000000, 0.028376, 191147.448548, 193712.000000, 1.000000, 2, 0.000061, 63715.816183, 63715.816183
Z2, 2, 1, 720, 7080.000000, 0.052451, 134983.127109, 136152.000000, 1.000000, 2, 0.000061, 33745.781777, 33745.781777
Z2, 3, 1, 720, 18976.000000, 0.044947, 422186.130331, 431272.000000, 1.000000, 2, 0.000061, 84437.226066, 84437.226066
Z2, 4, 1, 720, 8720.000000, 0.061145, 142611.824352, 142944.000000, 1.000000, 2, 0.000061, 28522.364870, 28522.364870
Z2, 5, 1, 720, 8336.000000, 0.032874, 253574.253209, 260496.000000, 1.000000, 2, 0.000061, 50714.850642, 50714.850642
Z2, 6, 1, 720, 6376.000000, 0.073701, 86511.716259, 87336.000000, 1.000000, 2, 0.000061, 17302.343252, 17302.343252
Z2, 7, 1, 720, 6872.000000, 0.056787, 121013.612270, 122712.000000, 1.000000, 2, 0.000061, 24202.722454, 24202.722454
Z3, 0, 1, 720, 7080.000000, 0.198801, 35613.502950, 35752.000000, 1.000000, 2, 0.000061, 7122.700590, 7122.700590
Z3, 1, 1, 720, 7080.000000, 0.047736, 148315.736551, 150632.000000, 1.000000, 2, 0.000061, 29663.147310, 29663.147310
Z3, 2, 1, 720, 5664.000000, 0.044307, 127835.330760, 128720.000000, 1.000000, 2, 0.000061, 25567.066152, 25567.066152
Z3, 3, 1, 720, 7080.000000, 0.063421, 111634.947415, 112376.000000, 1.000000, 2, 0.000061, 22326.989483, 22326.989483
Z3, 4, 1, 720, 7080.000000, 0.040535, 174663.870729, 177000.000000, 1.000000, 2, 0.000061, 34932.774146, 34932.774146
Z3, 5, 1, 720, 5664.000000, 0.034999, 161833.195234, 166584.000000, 1.000000, 2, 0.000061, 32366.639047, 32366.639047
Z3, 6, 1, 720, 7080.000000, 0.060173, 117660.744852, 118000.000000, 1.000000, 2, 0.000061, 23532.148970, 23532.148970
Z3, 7, 1, 720, 7080.000000, 0.054228, 130559.858376, 131104.000000, 1.000000, 2, 0.000061, 26111.971675, 26111.971675
Z3, 8, 1, 720, 5664.000000, 0.075206, 75313.139909, 75520.000000, 1.000000, 2, 0.000061, 15062.627982, 15062.627982
Z3, 9, 1, 720, 7080.000000, 0.074548, 94972.366797, 95672.000000, 1.000000, 2, 0.000061, 18994.473359, 18994.473359
Z3, 10, 1, 720, 12904.000000, 0.047809, 269907.339622, 274552.000000, 1.000000, 2, 0.000061, 53981.467924, 53981.467924
Z3, 11, 1, 720, 17344.000000, 0.037557, 461804.723487, 468752.000000, 1.000000, 2, 0.000061, 92360.944697, 92360.944697
Z3, 12, 1, 720, 16912.000000, 0.032510, 520209.166410, 528496.000000, 1.000000, 2, 0.000061, 104041.833282, 104041.833282
Z3, 13, 1, 720, 13240.000000, 0.037865, 349663.277433, 357832.000000, 1.000000, 2, 0.000061, 69932.655487, 69932.655487
Z3, 14, 1, 720, 28328.000000, 0.059122, 479144.819187, 480128.000000, 1.000000, 2, 0.000061, 95828.963837, 95828.963837
Z3, 15, 1, 720, 30528.000000, 0.060313, 506159.534429, 508800.000000, 1.000000, 2, 0.000061, 101231.906886, 101231.906886
Z3, 16, 1, 720, 16360.000000, 0.037085, 441148.712417, 442160.000000, 1.000000, 2, 0.000061, 88229.742483, 88229.742483
Z3, 17, 1, 720, 33216.000000, 0.189404, 175371.164284, 175744.000000, 1.000000, 2, 0.000061, 35074.232857, 35074.232857
Z3, 18, 1, 720, 28000.000000, 0.062387, 448811.451104, 451608.000000, 1.000000, 2, 0.000061, 89762.290221, 89762.290221
Z3, 19, 1, 720, 15744.000000, 0.036365, 432943.764609, 437328.000000, 1.000000, 2, 0.000061, 86588.752922, 86588.752922
Z3, 20, 1, 720, 16024.000000, 0.026533, 603927.185015, 616304.000000, 1.000000, 2, 0.000061, 120785.437003, 120785.437003
Z3, 21, 1, 720, 11576.000000, 0.048795, 237237.421867, 241160.000000, 1.000000, 2, 0.000061, 47447.484373, 47447.484373
Z3, 22, 1, 720, 10816.000000, 0.068970, 156821.806583, 159056.000000, 1.000000, 2, 0.000061, 31364.361317, 31364.361317
Z3, 23, 1, 720, 13224.000000, 0.068443, 193211.869731, 194464.000000, 1.000000, 2, 0.000061, 38642.373946, 38642.373946
Z3, 24, 1, 720, 17528.000000, 0.073153, 239607.398193, 240104.000000, 1.000000, 2, 0.000061, 47921.479639, 47921.479639
Z3, 25, 1, 720, 23824.000000, 0.072176, 330082.021725, 330888.000000, 1.000000, 2, 0.000061, 66016.404345, 66016.404345
Z3, 26, 1, 720, 11024.000000, 0.041622, 264859.929845, 268872.000000, 1.000000, 2, 0.000061, 52971.985969, 52971.985969
Z3, 27, 1, 720, 15112.000000, 0.035413, 426735.944427, 431768.000000, 1.000000, 2, 0.000061, 85347.188885, 85347.188885
Z3, 28, 1, 720, 24552.000000, 0.058898, 416856.259975, 423304.000000, 1.000000, 2, 0.000061, 83371.251995, 83371.251995
Z3, 29, 1, 720, 10824.000000, 0.028338, 381960.618251, 386568.000000, 1.000000, 2, 0.000061, 76392.123650, 76392.123650
Z3, 30, 1, 720, 6872.000000, 0.065694, 104606.204524, 105720.000000, 1.000000, 2, 0.000061, 20921.240905, 20921.240905
Z3, 31, 1, 720, 6872.000000, 0.057615, 119274.494489, 120560.000000, 1.000000, 2, 0.000061, 23854.898898, 23854.898898
Z3, 32, 1, 720, 6376.000000, 0.056538, 112773.709717, 113856.000000, 1.000000, 2, 0.000061, 22554.741943, 22554.741943
