Zone, Tile_no, Seg_no, Reso, Seg_d_size, Seg_d_time, Bitrate, Bitrate1, Buf_lev, Buf_limit, Elapsed, Ref_vp, Local_avg,qt_sw,QoE,delay,jitter,loss
Z3,27,1,720,15112.0,0.103475,146044.938391,146712.0,1.0,2,5.5e-05,29208.987678,29208.987678,0.0,146004.9299827,0,0,0
Z3,28,1,720,24552.0,0.103549,237105.13863,238368.0,1.0,2,5.5e-05,47421.027726,47421.027726,0.0,237065.1302217,0,0,0
Z3,29,1,720,10824.0,0.103507,104572.637599,105080.0,1.0,2,5.5e-05,20914.52752,20914.52752,0.0,104532.6291907,0,0,0
Z3,30,1,720,6872.0,0.103494,66399.98454,66712.0,1.0,2,5.5e-05,13279.996908,13279.996908,0.0,66359.97613170001,0,0,0
Z3,31,1,720,6872.0,0.103514,66387.155361,66712.0,1.0,2,5.5e-05,13277.431072,13277.431072,0.0,66347.1469527,0,0,0
Z3,32,1,720,6376.0,0.103063,61865.07282,61896.0,1.0,2,5.5e-05,12373.014564,12373.014564,0.0,61825.064411700005,0,0,0
Z3,33,1,720,6872.0,0.103563,66355.744812,66712.0,1.0,2,5.5e-05,13271.148962,13271.148962,0.0,66315.73640370001,0,0,0
Z3,34,1,720,6872.0,0.10351,66389.7208,66712.0,1.0,2,5.5e-05,13277.94416,13277.94416,0.0,66349.7123917,0,0,0
Z3,35,1,720,6376.0,0.10351,61597.913245,61896.0,1.0,2,5.5e-05,12319.582649,12319.582649,0.0,61557.90483670001,0,0,0
Z3,36,1,720,6872.0,0.103514,66387.155361,66712.0,1.0,2,5.5e-05,13277.431072,13277.431072,0.0,66347.1469527,0,0,0
Z3,37,1,720,6872.0,0.103514,66387.155361,66712.0,1.0,2,5.5e-05,13277.431072,13277.431072,0.0,66347.1469527,0,0,0
Z3,38,1,720,6376.0,0.103503,61602.079167,61896.0,1.0,2,5.5e-05,12320.415833,12320.415833,0.0,61562.07075870001,0,0,0
Z1,0,2,720,9320.0,0.32131,29006.255641,29032.0,1.0,2,5.655919,18121.666962,18121.666962,0.0,28966.2472327,0,0,0
Z2,0,2,720,6624.0,0.334155,19823.13597,19832.0,1.0,2,5.655919,16285.043027,16285.043027,0.0,19783.1275617,0,0,0
Z2,1,2,720,5424.0,0.103528,52391.623522,52656.0,1.0,2,5.655919,22798.740538,22798.740538,0.0,52351.615113700005,0,0,0
Z2,2,2,720,7080.0,0.103484,68416.373546,68736.0,1.0,2,5.655919,26003.690542,26003.690542,0.0,68376.3651377,0,0,0
Z2,3,2,720,18392.0,0.103651,177441.606931,178560.0,1.0,2,5.655919,47808.73722,47808.73722,0.0,177401.5985227,0,0,0
Z2,4,2,720,9160.0,0.103013,88920.815819,88928.0,1.0,2,5.655919,30104.578997,30104.578997,0.0,88880.8074107,0,0,0
Z2,5,2,720,8048.0,0.103602,77681.898033,78128.0,1.0,2,5.655919,27856.79544,27856.79544,0.0,77641.88962470001,0,0,0
Z2,6,2,720,6376.0,0.103514,61595.532971,61896.0,1.0,2,5.655919,24639.522428,24639.522428,0.0,61555.524562700004,0,0,0
Z2,7,2,720,6872.0,0.103377,66475.134701,66712.0,1.0,2,5.655919,25615.442774,25615.442774,0.0,66435.1262927,0,0,0
Z3,0,2,720,7080.0,0.322607,21946.206995,21984.0,1.0,2,5.655919,16709.657232,16709.657232,0.0,21906.1985867,0,0,0
Z3,1,2,720,7080.0,0.103634,68317.347589,68736.0,1.0,2,5.655919,25983.885351,25983.885351,0.0,68277.3391807,0,0,0
Z3,2,2,720,5664.0,0.103495,54727.281511,54984.0,1.0,2,5.655919,23265.872136,23265.872136,0.0,54687.273102700005,0,0,0
Z3,3,2,720,7080.0,0.103527,68387.956765,68736.0,1.0,2,5.655919,25998.007186,25998.007186,0.0,68347.9483567,0,0,0
Z3,4,2,720,7080.0,0.103642,68312.074256,68736.0,1.0,2,5.655919,25982.830684,25982.830684,0.0,68272.06584770001,0,0,0
Z3,5,2,720,5664.0,0.103514,54717.236316,54984.0,1.0,2,5.655919,23263.863097,23263.863097,0.0,54677.227907700006,0,0,0
Z3,6,2,720,7080.0,0.103768,68229.126513,68736.0,1.0,2,5.655919,25966.241136,25966.241136,0.0,68189.1181047,0,0,0
Z3,7,2,720,7080.0,0.103641,68312.733378,68736.0,1.0,2,5.655919,25982.962509,25982.962509,0.0,68272.72496970001,0,0,0
Z3,8,2,720,5664.0,0.103513,54717.764918,54984.0,1.0,2,5.655919,23263.968817,23263.968817,0.0,54677.756509700004,0,0,0
Z3,9,2,720,7080.0,0.103642,68312.074256,68736.0,1.0,2,5.655919,25982.830684,25982.830684,0.0,68272.06584770001,0,0,0
Z3,10,2,720,12648.0,0.103791,121860.276903,122792.0,1.0,2,5.655919,36692.471214,36692.471214,0.0,121820.26849470001,0,0,0
Z3,11,2,720,17112.0,0.103635,165117.962078,166128.0,1.0,2,5.655919,45344.008249,45344.008249,0.0,165077.95366970001,0,0,0
Z3,12,2,720,15320.0,0.103515,147997.874704,148736.0,1.0,2,5.655919,41919.990774,41919.990774,0.0,147957.8662957,0,0,0
Z3,13,2,720,10704.0,0.103636,103284.572928,103920.0,1.0,2,5.655919,32977.330419,32977.330419,0.0,103244.5645197,0,0,0
Z3,14,2,720,18776.0,0.103647,181153.337771,182288.0,1.0,2,5.655919,48551.083388,48551.083388,0.0,181113.3293627,0,0,0
Z3,15,2,720,21848.0,0.103641,210804.604355,212112.0,1.0,2,5.655919,54481.336704,54481.336704,0.0,210764.5959467,0,0,0
Z3,16,2,720,12752.0,0.103772,122884.785877,123800.0,1.0,2,5.655919,36897.373009,36897.373009,0.0,122844.7774687,0,0,0
Z3,17,2,720,21856.0,0.103659,210845.175045,212192.0,1.0,2,5.655919,54489.450842,54489.450842,0.0,210805.1666367,0,0,0
Z3,18,2,720,16880.0,0.103621,162901.342392,163880.0,1.0,2,5.655919,44900.684312,44900.684312,0.0,162861.3339837,0,0,0
Z3,19,2,720,12128.0,0.10364,117020.455423,117744.0,1.0,2,5.655919,35724.506918,35724.506918,0.0,116980.44701470001,0,0,0
Z3,20,2,720,15344.0,0.103512,148234.021176,148968.0,1.0,2,5.655919,41967.220069,41967.220069,0.0,148194.0127677,0,0,0
Z3,21,2,720,11592.0,0.10351,111989.179789,112536.0,1.0,2,5.655919,34718.251791,34718.251791,0.0,111949.1713807,0,0,0
Z3,22,2,720,9952.0,0.103506,96149.015516,96616.0,1.0,2,5.655919,31550.218937,31550.218937,0.0,96109.0071077,0,0,0
Z3,23,2,720,11064.0,0.103648,106745.909231,107416.0,1.0,2,5.655919,33669.59768,33669.59768,0.0,106705.9008227,0,0,0
Z3,24,2,720,14728.0,0.103639,142108.665657,142984.0,1.0,2,5.655919,40742.148965,40742.148965,0.0,142068.6572487,0,0,0
Z3,25,2,720,16264.0,0.103513,157120.361694,157896.0,1.0,2,5.655919,43744.488172,43744.488172,0.0,157080.3532857,0,0,0
Z3,26,2,720,9504.0,0.103641,91701.160738,92264.0,1.0,2,5.655919,30660.647981,30660.647981,0.0,91661.15232970001,0,0,0
Z3,27,2,720,12688.0,0.103636,122428.499749,123184.0,1.0,2,5.655919,36806.115783,36806.115783,0.0,122388.4913407,0,0,0
Z3,28,2,720,17320.0,0.103516,167317.129719,168152.0,1.0,2,5.655919,45783.841777,45783.841777,0.0,167277.1213107,0,0,0
Z3,29,2,720,10632.0,0.103635,102590.823563,103216.0,1.0,2,5.655919,32838.580546,32838.580546,0.0,102550.8151547,0,0,0
Z3,30,2,720,6872.0,0.103323,66509.876794,66712.0,1.0,2,5.655919,25622.391192,25622.391192,0.0,66469.8683857,0,0,0
Z3,31,2,720,6872.0,0.103557,66359.589405,66712.0,1.0,2,5.655919,25592.333714,25592.333714,0.0,66319.58099670001,0,0,0
Z3,32,2,720,6376.0,0.103642,61519.461222,61896.0,1.0,2,5.655919,24624.308078,24624.308078,0.0,61479.4528137,0,0,0
Z3,33,2,720,6872.0,0.103637,66308.364773,66712.0,1.0,2,5.655919,25582.088788,25582.088788,0.0,66268.3563647,0,0,0
Z3,34,2,720,6872.0,0.103645,66303.246659,66712.0,1.0,2,5.655919,25581.065165,25581.065165,0.0,66263.2382507,0,0,0
Z3,35,2,720,6376.0,0.103646,61517.087008,61896.0,1.0,2,5.655919,24623.833235,24623.833235,0.0,61477.078599700006,0,0,0
Z3,36,2,720,6872.0,0.103641,66305.805617,66712.0,1.0,2,5.655919,25581.576957,25581.576957,0.0,66265.79720870001,0,0,0
Z3,37,2,720,6872.0,0.103639,66307.085171,66712.0,1.0,2,5.655919,25581.832867,25581.832867,0.0,66267.0767627,0,0,0
Z3,38,2,720,6376.0,0.10364,61520.648398,61896.0,1.0,2,5.655919,24624.545513,24624.545513,0.0,61480.6399897,0,0,0
Z1,0,3,720,15304.0,0.32238,47471.927539,47520.0,1.0,2,11.304281,34118.931021,34118.931021,0.0,47431.9191307,0,0,0
Z2,0,3,720,6624.0,0.334069,19828.239076,19832.0,1.0,2,11.304281,28590.193328,28590.193328,0.0,19788.2306677,0,0,0
Z2,1,3,720,5664.0,0.103504,54722.522801,54984.0,1.0,2,11.304281,35569.050073,35569.050073,0.0,54682.5143927,0,0,0
Z2,2,3,720,7080.0,0.103508,68400.510105,68736.0,1.0,2,11.304281,38304.647534,38304.647534,0.0,68360.5016967,0,0,0
Z2,3,3,720,7080.0,0.103514,68396.545395,68736.0,1.0,2,11.304281,38303.854592,38303.854592,0.0,68356.5369867,0,0,0
Z2,4,3,720,12544.0,0.103529,121164.118266,121784.0,1.0,2,11.304281,48857.369166,48857.369166,0.0,121124.10985770001,0,0,0
Z2,5,3,720,18632.0,0.103638,179779.617515,180888.0,1.0,2,11.304281,60580.469016,60580.469016,0.0,179739.6091067,0,0,0
Z2,6,3,720,10240.0,0.103532,98906.618244,99416.0,1.0,2,11.304281,44405.869162,44405.869162,0.0,98866.6098357,0,0,0
Z2,7,3,720,8424.0,0.103606,81308.032353,81784.0,1.0,2,11.304281,40886.151984,40886.151984,0.0,81268.0239447,0,0,0
Z3,0,3,720,5424.0,0.322454,16821.003926,16840.0,1.0,2,11.304281,27988.746298,27988.746298,0.0,16780.9955177,0,0,0
Z3,1,3,720,7080.0,0.103514,68396.545395,68736.0,1.0,2,11.304281,38303.854592,38303.854592,0.0,68356.5369867,0,0,0
Z3,2,3,720,7080.0,0.103624,68323.9404,68736.0,1.0,2,11.304281,38289.333593,38289.333593,0.0,68283.93199170001,0,0,0
Z3,3,3,720,5664.0,0.103517,54715.650569,54984.0,1.0,2,11.304281,35567.675627,35567.675627,0.0,54675.6421607,0,0,0
Z3,4,3,720,7080.0,0.103503,68403.814382,68736.0,1.0,2,11.304281,38305.308389,38305.308389,0.0,68363.8059737,0,0,0
Z3,5,3,720,7080.0,0.103515,68395.884654,68736.0,1.0,2,11.304281,38303.722444,38303.722444,0.0,68355.8762457,0,0,0
Z3,6,3,720,5664.0,0.103507,54720.936748,54984.0,1.0,2,11.304281,35568.732863,35568.732863,0.0,54680.9283397,0,0,0
Z3,7,3,720,7080.0,0.103514,68396.545395,68736.0,1.0,2,11.304281,38303.854592,38303.854592,0.0,68356.5369867,0,0,0
Z3,8,3,720,7080.0,0.103511,68398.527693,68736.0,1.0,2,11.304281,38304.251052,38304.251052,0.0,68358.5192847,0,0,0
Z3,9,3,720,14120.0,0.103127,136918.556731,137080.0,1.0,2,11.304281,52008.256859,52008.256859,0.0,136878.5483227,0,0,0
Z3,10,3,720,17536.0,0.103645,169192.918134,170248.0,1.0,2,11.304281,58463.12914,58463.12914,0.0,169152.9097257,0,0,0
Z3,11,3,720,16008.0,0.103507,154656.206827,155416.0,1.0,2,11.304281,55555.786878,55555.786878,0.0,154616.1984187,0,0,0
Z3,12,3,720,10896.0,0.10364,105133.153223,105784.0,1.0,2,11.304281,45651.176158,45651.176158,0.0,105093.1448147,0,0,0
Z3,13,3,720,19720.0,0.103649,190257.50369,191456.0,1.0,2,11.304281,62676.046251,62676.046251,0.0,190217.49528170002,0,0,0
Z3,14,3,720,20104.0,0.10351,194222.780408,195184.0,1.0,2,11.304281,63469.101595,63469.101595,0.0,194182.7719997,0,0,0
Z3,15,3,720,12504.0,0.103505,120805.758176,121392.0,1.0,2,11.304281,48785.697148,48785.697148,0.0,120765.7497677,0,0,0
Z3,16,3,720,23072.0,0.103516,222883.418988,224000.0,1.0,2,11.304281,69201.229311,69201.229311,0.0,222843.4105797,0,0,0
Z3,17,3,720,18112.0,0.103636,174765.525493,175840.0,1.0,2,11.304281,59577.650612,59577.650612,0.0,174725.5170847,0,0,0
Z3,18,3,720,9664.0,0.103252,93596.249952,93824.0,1.0,2,11.304281,43343.795503,43343.795503,0.0,93556.2415437,0,0,0
Z3,19,3,720,12280.0,0.103504,118642.757768,119216.0,1.0,2,11.304281,48353.097067,48353.097067,0.0,118602.7493597,0,0,0
Z3,20,3,720,10368.0,0.103512,100162.300023,100656.0,1.0,2,11.304281,44657.005518,44657.005518,0.0,100122.2916147,0,0,0
Z3,21,3,720,10520.0,0.103379,101761.479604,102128.0,1.0,2,11.304281,44976.841434,44976.841434,0.0,101721.4711957,0,0,0
Z3,22,3,720,15288.0,0.103641,147509.190378,148424.0,1.0,2,11.304281,54126.383589,54126.383589,0.0,147469.1819697,0,0,0
Z3,23,3,720,16344.0,0.103513,157893.211481,158672.0,1.0,2,11.304281,56203.187809,56203.187809,0.0,157853.2030727,0,0,0
Z3,24,3,720,9016.0,0.102375,88068.376068,88392.0,1.0,2,11.304281,42238.220727,42238.220727,0.0,88028.3676597,0,0,0
Z3,25,3,720,13800.0,0.103611,133190.491357,133976.0,1.0,2,11.304281,51262.643784,51262.643784,0.0,133150.4829487,0,0,0
Z3,26,3,720,17664.0,0.103628,170455.86135,171488.0,1.0,2,11.304281,58715.717783,58715.717783,0.0,170415.8529417,0,0,0
Z3,27,3,720,9896.0,0.103636,95488.054344,96072.0,1.0,2,11.304281,43722.156382,43722.156382,0.0,95448.0459357,0,0,0
Z3,28,3,720,6376.0,0.103498,61605.05517,61896.0,1.0,2,11.304281,36945.556547,36945.556547,0.0,61565.0467617,0,0,0
Z3,29,3,720,6872.0,0.103512,66388.438055,66712.0,1.0,2,11.304281,37902.233124,37902.233124,0.0,66348.42964670001,0,0,0
Z3,30,3,720,6872.0,0.103507,66391.64501,66712.0,1.0,2,11.304281,37902.874515,37902.874515,0.0,66351.6366017,0,0,0
Z3,31,3,720,6376.0,0.103507,61599.698571,61896.0,1.0,2,11.304281,36944.485227,36944.485227,0.0,61559.690162700004,0,0,0
Z3,32,3,720,6872.0,0.103514,66387.155361,66712.0,1.0,2,11.304281,37901.976585,37901.976585,0.0,66347.1469527,0,0,0
Z3,33,3,720,6872.0,0.103512,66388.438055,66712.0,1.0,2,11.304281,37902.233124,37902.233124,0.0,66348.42964670001,0,0,0
Z3,34,3,720,6376.0,0.103513,61596.128023,61896.0,1.0,2,11.304281,36943.771118,36943.771118,0.0,61556.1196147,0,0,0
Z3,35,3,720,6872.0,0.103373,66477.706945,66712.0,1.0,2,11.304281,37920.086902,37920.086902,0.0,66437.6985367,0,0,0
Z3,36,3,720,6872.0,0.10325,66556.900726,66712.0,1.0,2,11.304281,37935.925658,37935.925658,0.0,66516.89231770001,0,0,0
Z3,37,3,720,6376.0,0.10351,61597.913245,61896.0,1.0,2,11.304281,36944.128162,36944.128162,0.0,61557.90483670001,0,0,0
Z3,38,3,720,6872.0,0.103516,66385.872715,66712.0,1.0,2,11.304281,37901.720056,37901.720056,0.0,66345.86430670001,0,0,0
