Zone, Tile_no, Seg_no, Reso, Seg_d_size, Seg_d_time, Bitrate, Bitrate1, Buf_lev, Buf_limit, Elapsed, Ref_vp, Local_avg,QoE,QoE1,Z1,Z2,Z3,delay,jitter,loss
Z1,0,1, 720,9960.0,0.0196,508163.265306,524208.0,1.0,2,6.7e-05,508163.265306,508163.265306,1508065316.1056297,3654187116.512084,61606883.393693,4883134992.433482,26344352996.49802,0,0,3
Z2,0,1, 720,8952.0,0.022191,403406.786535,406904.0,1.0,2,6.7e-05,201703.393268,201703.393268,1508065316.1056297,3654187116.512084,61606883.393693,4883134992.433482,26344352996.49802,0,0,3
Z2,1,1, 720,5424.0,0.000991,5473259.334006,5424000.0,1.0,2,6.7e-05,1824419.778002,1824419.778002,1508065316.1056297,3654187116.512084,61606883.393693,4883134992.433482,26344352996.49802,0,0,3
Z2,2,1, 720,7080.0,0.000878,8063781.321185,7080000.0,1.0,2,6.7e-05,2015945.330296,2015945.330296,1508065316.1056297,3654187116.512084,61606883.393693,4883134992.433482,26344352996.49802,0,0,3
Z2,3,1, 720,18976.0,0.001017,18658800.393314,18976000.0,1.0,2,6.7e-05,3731760.078663,3731760.078663,1508065316.1056297,3654187116.512084,61606883.393693,4883134992.433482,26344352996.49802,0,0,3
Z2,4,1, 720,8720.0,0.000891,9786756.453423,8720000.0,1.0,2,6.7e-05,1957351.290685,1957351.290685,1508065316.1056297,3654187116.512084,61606883.393693,4883134992.433482,26344352996.49802,0,0,3
Z2,5,1, 720,8336.0,0.000894,9324384.787472,8336000.0,1.0,2,6.7e-05,1864876.957494,1864876.957494,1508065316.1056297,3654187116.512084,61606883.393693,4883134992.433482,26344352996.49802,0,0,3
Z2,6,1, 720,6376.0,0.000845,7545562.130178,6376000.0,1.0,2,6.7e-05,1509112.426036,1509112.426036,1508065316.1056297,3654187116.512084,61606883.393693,4883134992.433482,26344352996.49802,0,0,3
Z2,7,1, 720,6872.0,0.000916,7502183.406114,6872000.0,1.0,2,6.7e-05,1500436.681223,1500436.681223,1508065316.1056297,3654187116.512084,61606883.393693,4883134992.433482,26344352996.49802,0,0,3
Z3,0,1, 720,7080.0,0.022509,314540.850327,321816.0,1.0,2,6.7e-05,62908.170065,62908.170065,1508065316.1056297,3654187116.512084,61606883.393693,4883134992.433482,26344352996.49802,0,0,3
Z3,1,1, 720,7080.0,0.000777,9111969.111969,7080000.0,1.0,2,6.7e-05,1822393.822394,1822393.822394,1508065316.1056297,3654187116.512084,61606883.393693,4883134992.433482,26344352996.49802,0,0,3
Z3,2,1, 720,5664.0,0.000818,6924205.378973,5664000.0,1.0,2,6.7e-05,1384841.075795,1384841.075795,1508065316.1056297,3654187116.512084,61606883.393693,4883134992.433482,26344352996.49802,0,0,3
Z3,3,1, 720,7080.0,0.000852,8309859.15493,7080000.0,1.0,2,6.7e-05,1661971.830986,1661971.830986,1508065316.1056297,3654187116.512084,61606883.393693,4883134992.433482,26344352996.49802,0,0,3
Z3,4,1, 720,7080.0,0.00085,8329411.764706,7080000.0,1.0,2,6.7e-05,1665882.352941,1665882.352941,1508065316.1056297,3654187116.512084,61606883.393693,4883134992.433482,26344352996.49802,0,0,3
Z3,5,1, 720,5664.0,0.00083,6824096.385542,5664000.0,1.0,2,6.7e-05,1364819.277108,1364819.277108,1508065316.1056297,3654187116.512084,61606883.393693,4883134992.433482,26344352996.49802,0,0,3
Z3,6,1, 720,7080.0,0.000982,7209775.967413,7080000.0,1.0,2,6.7e-05,1441955.193483,1441955.193483,1508065316.1056297,3654187116.512084,61606883.393693,4883134992.433482,26344352996.49802,0,0,3
Z3,7,1, 720,7080.0,0.000884,8009049.773756,7080000.0,1.0,2,6.7e-05,1601809.954751,1601809.954751,1508065316.1056297,3654187116.512084,61606883.393693,4883134992.433482,26344352996.49802,0,0,3
Z3,8,1, 720,5664.0,0.000751,7541944.074567,5664000.0,1.0,2,6.7e-05,1508388.814913,1508388.814913,1508065316.1056297,3654187116.512084,61606883.393693,4883134992.433482,26344352996.49802,0,0,3
Z3,9,1, 720,7080.0,0.000916,7729257.641921,7080000.0,1.0,2,6.7e-05,1545851.528384,1545851.528384,1508065316.1056297,3654187116.512084,61606883.393693,4883134992.433482,26344352996.49802,0,0,3
Z3,10,1, 720,12904.0,0.000861,14987224.157956,12904000.0,1.0,2,6.7e-05,2997444.831591,2997444.831591,1508065316.1056297,3654187116.512084,61606883.393693,4883134992.433482,26344352996.49802,0,0,3
Z3,11,1, 720,17344.0,0.000709,24462623.413258,17344000.0,1.0,2,6.7e-05,4892524.682652,4892524.682652,1508065316.1056297,3654187116.512084,61606883.393693,4883134992.433482,26344352996.49802,0,0,3
Z3,12,1, 720,16912.0,0.000685,24689051.094891,16912000.0,1.0,2,6.7e-05,4937810.218978,4937810.218978,1508065316.1056297,3654187116.512084,61606883.393693,4883134992.433482,26344352996.49802,0,0,3
Z3,13,1, 720,13240.0,0.000866,15288683.602771,13240000.0,1.0,2,6.7e-05,3057736.720554,3057736.720554,1508065316.1056297,3654187116.512084,61606883.393693,4883134992.433482,26344352996.49802,0,0,3
Z3,14,1, 720,28328.0,0.004479,6324626.032597,7082000.0,1.0,2,6.7e-05,1264925.206519,1264925.206519,1508065316.1056297,3654187116.512084,61606883.393693,4883134992.433482,26344352996.49802,0,0,3
Z3,15,1, 720,30528.0,0.001039,29382098.171319,30528000.0,1.0,2,6.7e-05,5876419.634264,5876419.634264,1508065316.1056297,3654187116.512084,61606883.393693,4883134992.433482,26344352996.49802,0,0,3
Z3,16,1, 720,16360.0,0.000942,17367303.609342,16360000.0,1.0,2,6.7e-05,3473460.721868,3473460.721868,1508065316.1056297,3654187116.512084,61606883.393693,4883134992.433482,26344352996.49802,0,0,3
Z3,17,1, 720,33216.0,0.001009,32919722.497522,33216000.0,1.0,2,6.7e-05,6583944.499504,6583944.499504,1508065316.1056297,3654187116.512084,61606883.393693,4883134992.433482,26344352996.49802,0,0,3
Z3,18,1, 720,28000.0,0.000846,33096926.713948,28000000.0,1.0,2,6.7e-05,6619385.34279,6619385.34279,1508065316.1056297,3654187116.512084,61606883.393693,4883134992.433482,26344352996.49802,0,0,3
Z3,19,1, 720,15744.0,0.00096,16400000.0,15744000.0,1.0,2,6.7e-05,3280000.0,3280000.0,1508065316.1056297,3654187116.512084,61606883.393693,4883134992.433482,26344352996.49802,0,0,3
Z3,20,1, 720,16024.0,0.000748,21422459.893048,16024000.0,1.0,2,6.7e-05,4284491.97861,4284491.97861,1508065316.1056297,3654187116.512084,61606883.393693,4883134992.433482,26344352996.49802,0,0,3
Z3,21,1, 720,11576.0,0.000771,15014267.185473,11576000.0,1.0,2,6.7e-05,3002853.437095,3002853.437095,1508065316.1056297,3654187116.512084,61606883.393693,4883134992.433482,26344352996.49802,0,0,3
Z3,22,1, 720,10816.0,0.000903,11977851.605759,10816000.0,1.0,2,6.7e-05,2395570.321152,2395570.321152,1508065316.1056297,3654187116.512084,61606883.393693,4883134992.433482,26344352996.49802,0,0,3
Z3,23,1, 720,13224.0,0.000824,16048543.68932,13224000.0,1.0,2,6.7e-05,3209708.737864,3209708.737864,1508065316.1056297,3654187116.512084,61606883.393693,4883134992.433482,26344352996.49802,0,0,3
Z3,24,1, 720,17528.0,0.000871,20123995.407577,17528000.0,1.0,2,6.7e-05,4024799.081515,4024799.081515,1508065316.1056297,3654187116.512084,61606883.393693,4883134992.433482,26344352996.49802,0,0,3
Z3,25,1, 720,23824.0,0.000959,24842544.316997,23824000.0,1.0,2,6.7e-05,4968508.863399,4968508.863399,1508065316.1056297,3654187116.512084,61606883.393693,4883134992.433482,26344352996.49802,0,0,3
Z3,26,1, 720,11024.0,0.000955,11543455.497382,11024000.0,1.0,2,6.7e-05,2308691.099476,2308691.099476,1508065316.1056297,3654187116.512084,61606883.393693,4883134992.433482,26344352996.49802,0,0,3
Z3,27,1, 720,15112.0,0.000782,19324808.184143,15112000.0,1.0,2,6.7e-05,3864961.636829,3864961.636829,1508065316.1056297,3654187116.512084,61606883.393693,4883134992.433482,26344352996.49802,0,0,3
Z3,28,1, 720,24552.0,0.000886,27711060.948081,24552000.0,1.0,2,6.7e-05,5542212.189616,5542212.189616,1508065316.1056297,3654187116.512084,61606883.393693,4883134992.433482,26344352996.49802,0,0,3
Z3,29,1, 720,10824.0,0.000801,13513108.614232,10824000.0,1.0,2,6.7e-05,2702621.722846,2702621.722846,1508065316.1056297,3654187116.512084,61606883.393693,4883134992.433482,26344352996.49802,0,0,3
Z3,30,1, 720,6872.0,0.000738,9311653.116531,6872000.0,1.0,2,6.7e-05,1862330.623306,1862330.623306,1508065316.1056297,3654187116.512084,61606883.393693,4883134992.433482,26344352996.49802,0,0,3
Z3,31,1, 720,6872.0,0.000714,9624649.859944,6872000.0,1.0,2,6.7e-05,1924929.971989,1924929.971989,1508065316.1056297,3654187116.512084,61606883.393693,4883134992.433482,26344352996.49802,0,0,3
Z3,32,1, 720,6376.0,0.000781,8163892.445583,6376000.0,1.0,2,6.7e-05,1632778.489117,1632778.489117,1508065316.1056297,3654187116.512084,61606883.393693,4883134992.433482,26344352996.49802,0,0,3
Z3,33,1, 720,6872.0,0.000824,8339805.825243,6872000.0,1.0,2,6.7e-05,1667961.165049,1667961.165049,1508065316.1056297,3654187116.512084,61606883.393693,4883134992.433482,26344352996.49802,0,0,3
Z3,34,1, 720,6872.0,0.415816,16526.540585,16552.0,1.0,2,6.7e-05,3305.308117,3305.308117,1508065316.1056297,3654187116.512084,61606883.393693,4883134992.433482,26344352996.49802,0,0,3
Z3,35,1, 720,6376.0,0.000802,7950124.688279,6376000.0,1.0,2,6.7e-05,1590024.937656,1590024.937656,1508065316.1056297,3654187116.512084,61606883.393693,4883134992.433482,26344352996.49802,0,0,3
Z3,36,1, 720,6872.0,0.000787,8731893.265565,6872000.0,1.0,2,6.7e-05,1746378.653113,1746378.653113,1508065316.1056297,3654187116.512084,61606883.393693,4883134992.433482,26344352996.49802,0,0,3
Z3,37,1, 720,6872.0,0.20629,33312.327306,33352.0,1.0,2,6.7e-05,6662.465461,6662.465461,1508065316.1056297,3654187116.512084,61606883.393693,4883134992.433482,26344352996.49802,0,0,3
Z3,38,1, 720,6376.0,0.000752,8478723.404255,6376000.0,1.0,2,6.7e-05,1695744.680851,1695744.680851,1508065316.1056297,3654187116.512084,61606883.393693,4883134992.433482,26344352996.49802,0,0,3
Z1,0,2, 4K,33112.0,0.021091,1569958.750178,1576760.0,1.267178,2,0.732889,2009736.430887,2009736.430887,1508065316.1056297,3654187116.512084,61606883.393693,4883134992.433482,26344352996.49802,0,0,3
Z2,0,2, 4K,6624.0,0.019799,334562.351634,348624.0,1.267178,2,0.732889,1762657.151178,1762657.151178,1508065316.1056297,3654187116.512084,61606883.393693,4883134992.433482,26344352996.49802,0,0,3
Z2,1,2, 4K,9736.0,0.000932,10446351.93133,9736000.0,1.267178,2,0.732889,3785015.067117,3785015.067117,1508065316.1056297,3654187116.512084,61606883.393693,4883134992.433482,26344352996.49802,0,0,3
Z2,2,2, 4K,9976.0,0.000893,11171332.586786,9976000.0,1.267178,2,0.732889,3930011.198208,3930011.198208,1508065316.1056297,3654187116.512084,61606883.393693,4883134992.433482,26344352996.49802,0,0,3
