Zone, Tile_no, Seg_no, Reso, Seg_d_size, Seg_d_time, Bitrate, Bitrate1, Buf_lev, Buf_limit, Elapsed, Ref_vp, Local_avg,QoE,QoE1,Z1,Z2,Z3,delay,jitter,loss
Z1,0,1, 720,9960.0,0.043008,231584.821429,231624.0,1.0,2,5.9e-05,231584.821429,231584.821429,285457959.0089844,599193304.6905372,33901024.3651467,872424139.8446057,4009777596.6601334,0,25,0
Z2,0,1, 720,8952.0,0.04286,208866.075595,213136.0,1.0,2,5.9e-05,104433.037797,104433.037797,285457959.0089844,599193304.6905372,33901024.3651467,872424139.8446057,4009777596.6601334,0,25,0
Z2,1,1, 720,5424.0,0.025765,210518.14477,216960.0,1.0,2,5.9e-05,70172.714923,70172.714923,285457959.0089844,599193304.6905372,33901024.3651467,872424139.8446057,4009777596.6601334,0,25,0
Z2,2,1, 720,7080.0,0.001096,6459854.014599,7080000.0,1.0,2,5.9e-05,1614963.50365,1614963.50365,285457959.0089844,599193304.6905372,33901024.3651467,872424139.8446057,4009777596.6601334,0,25,0
Z2,3,1, 720,18976.0,0.017293,1097322.616087,1116232.0,1.0,2,5.9e-05,219464.523217,219464.523217,285457959.0089844,599193304.6905372,33901024.3651467,872424139.8446057,4009777596.6601334,0,25,0
Z2,4,1, 720,8720.0,0.010429,836130.022054,872000.0,1.0,2,5.9e-05,167226.004411,167226.004411,285457959.0089844,599193304.6905372,33901024.3651467,872424139.8446057,4009777596.6601334,0,25,0
Z2,5,1, 720,8336.0,0.000992,8403225.806452,8336000.0,1.0,2,5.9e-05,1680645.16129,1680645.16129,285457959.0089844,599193304.6905372,33901024.3651467,872424139.8446057,4009777596.6601334,0,25,0
Z2,6,1, 720,6376.0,0.013298,479470.597082,490456.0,1.0,2,5.9e-05,95894.119416,95894.119416,285457959.0089844,599193304.6905372,33901024.3651467,872424139.8446057,4009777596.6601334,0,25,0
Z2,7,1, 720,6872.0,0.000892,7704035.874439,6872000.0,1.0,2,5.9e-05,1540807.174888,1540807.174888,285457959.0089844,599193304.6905372,33901024.3651467,872424139.8446057,4009777596.6601334,0,25,0
Z3,0,1, 720,7080.0,0.052358,135222.888575,136152.0,1.0,2,5.9e-05,27044.577715,27044.577715,285457959.0089844,599193304.6905372,33901024.3651467,872424139.8446057,4009777596.6601334,0,25,0
Z3,1,1, 720,7080.0,0.000965,7336787.564767,7080000.0,1.0,2,5.9e-05,1467357.512953,1467357.512953,285457959.0089844,599193304.6905372,33901024.3651467,872424139.8446057,4009777596.6601334,0,25,0
Z3,2,1, 720,5664.0,0.000844,6710900.473934,5664000.0,1.0,2,5.9e-05,1342180.094787,1342180.094787,285457959.0089844,599193304.6905372,33901024.3651467,872424139.8446057,4009777596.6601334,0,25,0
Z3,3,1, 720,7080.0,0.000839,8438617.401669,7080000.0,1.0,2,5.9e-05,1687723.480334,1687723.480334,285457959.0089844,599193304.6905372,33901024.3651467,872424139.8446057,4009777596.6601334,0,25,0
Z3,4,1, 720,7080.0,0.015945,444026.340546,472000.0,1.0,2,5.9e-05,88805.268109,88805.268109,285457959.0089844,599193304.6905372,33901024.3651467,872424139.8446057,4009777596.6601334,0,25,0
Z3,5,1, 720,5664.0,0.000846,6695035.460993,5664000.0,1.0,2,5.9e-05,1339007.092199,1339007.092199,285457959.0089844,599193304.6905372,33901024.3651467,872424139.8446057,4009777596.6601334,0,25,0
Z3,6,1, 720,7080.0,0.019553,362092.773487,372624.0,1.0,2,5.9e-05,72418.554697,72418.554697,285457959.0089844,599193304.6905372,33901024.3651467,872424139.8446057,4009777596.6601334,0,25,0
Z3,7,1, 720,7080.0,0.018252,387902.695595,393328.0,1.0,2,5.9e-05,77580.539119,77580.539119,285457959.0089844,599193304.6905372,33901024.3651467,872424139.8446057,4009777596.6601334,0,25,0
Z3,8,1, 720,5664.0,0.013889,407804.737562,435688.0,1.0,2,5.9e-05,81560.947512,81560.947512,285457959.0089844,599193304.6905372,33901024.3651467,872424139.8446057,4009777596.6601334,0,25,0
Z3,9,1, 720,7080.0,0.024112,293629.727936,295000.0,1.0,2,5.9e-05,58725.945587,58725.945587,285457959.0089844,599193304.6905372,33901024.3651467,872424139.8446057,4009777596.6601334,0,25,0
Z3,10,1, 720,12904.0,0.000929,13890204.52099,12904000.0,1.0,2,5.9e-05,2778040.904198,2778040.904198,285457959.0089844,599193304.6905372,33901024.3651467,872424139.8446057,4009777596.6601334,0,25,0
Z3,11,1, 720,17344.0,0.0009,19271111.111111,17344000.0,1.0,2,5.9e-05,3854222.222222,3854222.222222,285457959.0089844,599193304.6905372,33901024.3651467,872424139.8446057,4009777596.6601334,0,25,0
Z3,12,1, 720,16912.0,0.001149,14718885.987815,16912000.0,1.0,2,5.9e-05,2943777.197563,2943777.197563,285457959.0089844,599193304.6905372,33901024.3651467,872424139.8446057,4009777596.6601334,0,25,0
Z3,13,1, 720,13240.0,0.000933,14190782.422294,13240000.0,1.0,2,5.9e-05,2838156.484459,2838156.484459,285457959.0089844,599193304.6905372,33901024.3651467,872424139.8446057,4009777596.6601334,0,25,0
Z3,14,1, 720,28328.0,0.003264,8678921.568627,9442664.0,1.0,2,5.9e-05,1735784.313725,1735784.313725,285457959.0089844,599193304.6905372,33901024.3651467,872424139.8446057,4009777596.6601334,0,25,0
Z3,15,1, 720,30528.0,0.011772,2593272.171254,2775272.0,1.0,2,5.9e-05,518654.434251,518654.434251,285457959.0089844,599193304.6905372,33901024.3651467,872424139.8446057,4009777596.6601334,0,25,0
Z3,16,1, 720,16360.0,0.02425,674639.175258,681664.0,1.0,2,5.9e-05,134927.835052,134927.835052,285457959.0089844,599193304.6905372,33901024.3651467,872424139.8446057,4009777596.6601334,0,25,0
Z3,17,1, 720,33216.0,0.001063,31247412.982126,33216000.0,1.0,2,5.9e-05,6249482.596425,6249482.596425,285457959.0089844,599193304.6905372,33901024.3651467,872424139.8446057,4009777596.6601334,0,25,0
Z3,18,1, 720,28000.0,0.020228,1384219.893217,1400000.0,1.0,2,5.9e-05,276843.978643,276843.978643,285457959.0089844,599193304.6905372,33901024.3651467,872424139.8446057,4009777596.6601334,0,25,0
Z3,19,1, 720,15744.0,0.007857,2003818.251241,2249136.0,1.0,2,5.9e-05,400763.650248,400763.650248,285457959.0089844,599193304.6905372,33901024.3651467,872424139.8446057,4009777596.6601334,0,25,0
Z3,20,1, 720,16024.0,0.000902,17764966.740576,16024000.0,1.0,2,5.9e-05,3552993.348115,3552993.348115,285457959.0089844,599193304.6905372,33901024.3651467,872424139.8446057,4009777596.6601334,0,25,0
Z3,21,1, 720,11576.0,0.002623,4413267.251239,5788000.0,1.0,2,5.9e-05,882653.450248,882653.450248,285457959.0089844,599193304.6905372,33901024.3651467,872424139.8446057,4009777596.6601334,0,25,0
Z3,22,1, 720,10816.0,0.008392,1288846.520496,1352000.0,1.0,2,5.9e-05,257769.304099,257769.304099,285457959.0089844,599193304.6905372,33901024.3651467,872424139.8446057,4009777596.6601334,0,25,0
Z3,23,1, 720,13224.0,0.000916,14436681.222707,13224000.0,1.0,2,5.9e-05,2887336.244541,2887336.244541,285457959.0089844,599193304.6905372,33901024.3651467,872424139.8446057,4009777596.6601334,0,25,0
Z3,24,1, 720,17528.0,0.011837,1480780.603193,1593448.0,1.0,2,5.9e-05,296156.120639,296156.120639,285457959.0089844,599193304.6905372,33901024.3651467,872424139.8446057,4009777596.6601334,0,25,0
Z3,25,1, 720,23824.0,0.009513,2504362.451382,2647104.0,1.0,2,5.9e-05,500872.490276,500872.490276,285457959.0089844,599193304.6905372,33901024.3651467,872424139.8446057,4009777596.6601334,0,25,0
Z3,26,1, 720,11024.0,0.000946,11653276.955603,11024000.0,1.0,2,5.9e-05,2330655.391121,2330655.391121,285457959.0089844,599193304.6905372,33901024.3651467,872424139.8446057,4009777596.6601334,0,25,0
Z3,27,1, 720,15112.0,0.000821,18406820.950061,15112000.0,1.0,2,5.9e-05,3681364.190012,3681364.190012,285457959.0089844,599193304.6905372,33901024.3651467,872424139.8446057,4009777596.6601334,0,25,0
Z3,28,1, 720,24552.0,0.015298,1604915.675252,1636800.0,1.0,2,5.9e-05,320983.13505,320983.13505,285457959.0089844,599193304.6905372,33901024.3651467,872424139.8446057,4009777596.6601334,0,25,0
Z3,29,1, 720,10824.0,0.000979,11056179.775281,10824000.0,1.0,2,5.9e-05,2211235.955056,2211235.955056,285457959.0089844,599193304.6905372,33901024.3651467,872424139.8446057,4009777596.6601334,0,25,0
Z3,30,1, 720,6872.0,0.000848,8103773.584906,6872000.0,1.0,2,5.9e-05,1620754.716981,1620754.716981,285457959.0089844,599193304.6905372,33901024.3651467,872424139.8446057,4009777596.6601334,0,25,0
Z3,31,1, 720,6872.0,0.002487,2763168.476076,3436000.0,1.0,2,5.9e-05,552633.695215,552633.695215,285457959.0089844,599193304.6905372,33901024.3651467,872424139.8446057,4009777596.6601334,0,25,0
Z3,32,1, 720,6376.0,0.013141,485198.99551,490456.0,1.0,2,5.9e-05,97039.799102,97039.799102,285457959.0089844,599193304.6905372,33901024.3651467,872424139.8446057,4009777596.6601334,0,25,0
Z3,33,1, 720,6872.0,0.01198,573622.704508,624720.0,1.0,2,5.9e-05,114724.540902,114724.540902,285457959.0089844,599193304.6905372,33901024.3651467,872424139.8446057,4009777596.6601334,0,25,0
Z3,34,1, 720,6872.0,0.004819,1426021.996265,1718000.0,1.0,2,5.9e-05,285204.399253,285204.399253,285457959.0089844,599193304.6905372,33901024.3651467,872424139.8446057,4009777596.6601334,0,25,0
Z3,35,1, 720,6376.0,0.000924,6900432.900433,6376000.0,1.0,2,5.9e-05,1380086.580087,1380086.580087,285457959.0089844,599193304.6905372,33901024.3651467,872424139.8446057,4009777596.6601334,0,25,0
Z3,36,1, 720,6872.0,0.009637,713084.984954,763552.0,1.0,2,5.9e-05,142616.996991,142616.996991,285457959.0089844,599193304.6905372,33901024.3651467,872424139.8446057,4009777596.6601334,0,25,0
Z3,37,1, 720,6872.0,0.019195,358009.898411,361680.0,1.0,2,5.9e-05,71601.979682,71601.979682,285457959.0089844,599193304.6905372,33901024.3651467,872424139.8446057,4009777596.6601334,0,25,0
Z3,38,1, 720,6376.0,0.019155,332863.48212,335576.0,1.0,2,5.9e-05,66572.696424,66572.696424,285457959.0089844,599193304.6905372,33901024.3651467,872424139.8446057,4009777596.6601334,0,25,0
Z1,0,2, 4K,33112.0,0.043741,757001.440296,770040.0,1.483627,2,0.516432,217972.984483,217972.984483,285457959.0089844,599193304.6905372,33901024.3651467,872424139.8446057,4009777596.6601334,0,25,0
Z2,0,2, 4K,6624.0,0.043379,152700.615505,154040.0,1.483627,2,0.516432,97112.819525,97112.819525,285457959.0089844,599193304.6905372,33901024.3651467,872424139.8446057,4009777596.6601334,0,25,0
Z2,1,2, 4K,9736.0,0.01313,741507.996954,748920.0,1.483627,2,0.516432,214874.295815,214874.295815,285457959.0089844,599193304.6905372,33901024.3651467,872424139.8446057,4009777596.6601334,0,25,0
Z2,2,2, 4K,9976.0,0.008548,1167056.621432,1247000.0,1.483627,2,0.516432,299984.02071,299984.02071,285457959.0089844,599193304.6905372,33901024.3651467,872424139.8446057,4009777596.6601334,0,25,0
Z2,3,2, 4K,38152.0,0.017555,2173283.964682,2244232.0,1.483627,2,0.516432,501229.48936,501229.48936,285457959.0089844,599193304.6905372,33901024.3651467,872424139.8446057,4009777596.6601334,0,25,0
Z2,4,2, 4K,53912.0,0.008037,6707975.612791,6739000.0,1.483627,2,0.516432,1408167.818982,1408167.818982,285457959.0089844,599193304.6905372,33901024.3651467,872424139.8446057,4009777596.6601334,0,25,0
