Zone, Tile_no, Seg_no, Reso, Seg_d_size, Seg_d_time, Bitrate, Bitrate1, Buf_lev, Buf_limit, Elapsed, Ref_vp, Local_avg,QoE,QoE1,Z1,Z2,Z3,delay,jitter,loss
Z1,0,1,720,9960.0,0.184391,54015.651523,54128.0,1.0,2,6.2e-05,54015.651523,54015.651523,9179187.5831922,23846440.9676034,1243249.6094541,27696376.188581098,174368910.0326931,50,25,0
Z2,0,1,720,8952.0,0.173838,51496.220619,51744.0,1.0,2,6.2e-05,25748.11031,25748.11031,9179187.5831922,23846440.9676034,1243249.6094541,27696376.188581098,174368910.0326931,50,25,0
Z2,1,1,720,5424.0,0.033128,163728.567979,164360.0,1.0,2,6.2e-05,54576.189326,54576.189326,9179187.5831922,23846440.9676034,1243249.6094541,27696376.188581098,174368910.0326931,50,25,0
Z2,2,1,720,7080.0,0.051453,137601.306046,138816.0,1.0,2,6.2e-05,34400.326512,34400.326512,9179187.5831922,23846440.9676034,1243249.6094541,27696376.188581098,174368910.0326931,50,25,0
Z2,3,1,720,18976.0,0.028232,672145.083593,677712.0,1.0,2,6.2e-05,134429.016719,134429.016719,9179187.5831922,23846440.9676034,1243249.6094541,27696376.188581098,174368910.0326931,50,25,0
Z2,4,1,720,8720.0,0.038489,226558.237418,229472.0,1.0,2,6.2e-05,45311.647484,45311.647484,9179187.5831922,23846440.9676034,1243249.6094541,27696376.188581098,174368910.0326931,50,25,0
Z2,5,1,720,8336.0,0.041342,201635.141019,203312.0,1.0,2,6.2e-05,40327.028204,40327.028204,9179187.5831922,23846440.9676034,1243249.6094541,27696376.188581098,174368910.0326931,50,25,0
Z2,6,1,720,6376.0,0.067942,93844.749934,95160.0,1.0,2,6.2e-05,18768.949987,18768.949987,9179187.5831922,23846440.9676034,1243249.6094541,27696376.188581098,174368910.0326931,50,25,0
Z2,7,1,720,6872.0,0.054366,126402.530994,127256.0,1.0,2,6.2e-05,25280.506199,25280.506199,9179187.5831922,23846440.9676034,1243249.6094541,27696376.188581098,174368910.0326931,50,25,0
Z3,0,1,720,7080.0,0.157663,44905.906903,45088.0,1.0,2,6.2e-05,8981.181381,8981.181381,9179187.5831922,23846440.9676034,1243249.6094541,27696376.188581098,174368910.0326931,50,25,0
Z3,1,1,720,7080.0,0.070114,100978.406595,101136.0,1.0,2,6.2e-05,20195.681319,20195.681319,9179187.5831922,23846440.9676034,1243249.6094541,27696376.188581098,174368910.0326931,50,25,0
Z3,2,1,720,5664.0,0.046832,120942.944995,123128.0,1.0,2,6.2e-05,24188.588999,24188.588999,9179187.5831922,23846440.9676034,1243249.6094541,27696376.188581098,174368910.0326931,50,25,0
Z3,3,1,720,7080.0,0.057663,122782.373446,124208.0,1.0,2,6.2e-05,24556.474689,24556.474689,9179187.5831922,23846440.9676034,1243249.6094541,27696376.188581098,174368910.0326931,50,25,0
Z3,4,1,720,7080.0,0.073472,96363.240418,96984.0,1.0,2,6.2e-05,19272.648084,19272.648084,9179187.5831922,23846440.9676034,1243249.6094541,27696376.188581098,174368910.0326931,50,25,0
Z3,5,1,720,5664.0,0.055962,101211.5364,102976.0,1.0,2,6.2e-05,20242.30728,20242.30728,9179187.5831922,23846440.9676034,1243249.6094541,27696376.188581098,174368910.0326931,50,25,0
Z3,6,1,720,7080.0,0.048921,144723.125038,147496.0,1.0,2,6.2e-05,28944.625008,28944.625008,9179187.5831922,23846440.9676034,1243249.6094541,27696376.188581098,174368910.0326931,50,25,0
Z3,7,1,720,7080.0,0.070211,100838.899887,101136.0,1.0,2,6.2e-05,20167.779977,20167.779977,9179187.5831922,23846440.9676034,1243249.6094541,27696376.188581098,174368910.0326931,50,25,0
Z3,8,1,720,5664.0,0.073239,77335.845656,77584.0,1.0,2,6.2e-05,15467.169131,15467.169131,9179187.5831922,23846440.9676034,1243249.6094541,27696376.188581098,174368910.0326931,50,25,0
Z3,9,1,720,7080.0,0.048584,145726.988309,147496.0,1.0,2,6.2e-05,29145.397662,29145.397662,9179187.5831922,23846440.9676034,1243249.6094541,27696376.188581098,174368910.0326931,50,25,0
Z3,10,1,720,12904.0,0.068684,187874.905364,189760.0,1.0,2,6.2e-05,37574.981073,37574.981073,9179187.5831922,23846440.9676034,1243249.6094541,27696376.188581098,174368910.0326931,50,25,0
Z3,11,1,720,17344.0,0.029909,579892.340098,598064.0,1.0,2,6.2e-05,115978.46802,115978.46802,9179187.5831922,23846440.9676034,1243249.6094541,27696376.188581098,174368910.0326931,50,25,0
Z3,12,1,720,16912.0,0.028697,589329.895111,604000.0,1.0,2,6.2e-05,117865.979022,117865.979022,9179187.5831922,23846440.9676034,1243249.6094541,27696376.188581098,174368910.0326931,50,25,0
Z3,13,1,720,13240.0,0.031005,427027.898726,427096.0,1.0,2,6.2e-05,85405.579745,85405.579745,9179187.5831922,23846440.9676034,1243249.6094541,27696376.188581098,174368910.0326931,50,25,0
Z3,14,1,720,28328.0,0.055929,506499.311627,515048.0,1.0,2,6.2e-05,101299.862325,101299.862325,9179187.5831922,23846440.9676034,1243249.6094541,27696376.188581098,174368910.0326931,50,25,0
Z3,15,1,720,30528.0,0.064649,472211.480456,477000.0,1.0,2,6.2e-05,94442.296091,94442.296091,9179187.5831922,23846440.9676034,1243249.6094541,27696376.188581098,174368910.0326931,50,25,0
Z3,16,1,720,16360.0,0.058591,279223.771569,282064.0,1.0,2,6.2e-05,55844.754314,55844.754314,9179187.5831922,23846440.9676034,1243249.6094541,27696376.188581098,174368910.0326931,50,25,0
Z3,17,1,720,33216.0,0.075701,438778.880068,442880.0,1.0,2,6.2e-05,87755.776014,87755.776014,9179187.5831922,23846440.9676034,1243249.6094541,27696376.188581098,174368910.0326931,50,25,0
Z3,18,1,720,28000.0,0.062206,450117.352024,451608.0,1.0,2,6.2e-05,90023.470405,90023.470405,9179187.5831922,23846440.9676034,1243249.6094541,27696376.188581098,174368910.0326931,50,25,0
Z3,19,1,720,15744.0,0.033934,463959.450698,477088.0,1.0,2,6.2e-05,92791.89014,92791.89014,9179187.5831922,23846440.9676034,1243249.6094541,27696376.188581098,174368910.0326931,50,25,0
Z3,20,1,720,16024.0,0.064652,247850.027841,250368.0,1.0,2,6.2e-05,49570.005568,49570.005568,9179187.5831922,23846440.9676034,1243249.6094541,27696376.188581098,174368910.0326931,50,25,0
Z3,21,1,720,11576.0,0.057816,200221.392002,203080.0,1.0,2,6.2e-05,40044.2784,40044.2784,9179187.5831922,23846440.9676034,1243249.6094541,27696376.188581098,174368910.0326931,50,25,0
Z3,22,1,720,10816.0,0.034021,317921.283913,318112.0,1.0,2,6.2e-05,63584.256783,63584.256783,9179187.5831922,23846440.9676034,1243249.6094541,27696376.188581098,174368910.0326931,50,25,0
Z3,23,1,720,13224.0,0.058458,226213.691881,228000.0,1.0,2,6.2e-05,45242.738376,45242.738376,9179187.5831922,23846440.9676034,1243249.6094541,27696376.188581098,174368910.0326931,50,25,0
Z3,24,1,720,17528.0,0.058738,298409.887977,302200.0,1.0,2,6.2e-05,59681.977595,59681.977595,9179187.5831922,23846440.9676034,1243249.6094541,27696376.188581098,174368910.0326931,50,25,0
Z3,25,1,720,23824.0,0.070859,336216.994313,340336.0,1.0,2,6.2e-05,67243.398863,67243.398863,9179187.5831922,23846440.9676034,1243249.6094541,27696376.188581098,174368910.0326931,50,25,0
Z3,26,1,720,11024.0,0.057655,191206.313416,193400.0,1.0,2,6.2e-05,38241.262683,38241.262683,9179187.5831922,23846440.9676034,1243249.6094541,27696376.188581098,174368910.0326931,50,25,0
Z3,27,1,720,15112.0,0.059728,253013.661934,256128.0,1.0,2,6.2e-05,50602.732387,50602.732387,9179187.5831922,23846440.9676034,1243249.6094541,27696376.188581098,174368910.0326931,50,25,0
Z3,28,1,720,24552.0,0.061328,400339.159927,402488.0,1.0,2,6.2e-05,80067.831985,80067.831985,9179187.5831922,23846440.9676034,1243249.6094541,27696376.188581098,174368910.0326931,50,25,0
Z3,29,1,720,10824.0,0.070867,152736.816854,154624.0,1.0,2,6.2e-05,30547.363371,30547.363371,9179187.5831922,23846440.9676034,1243249.6094541,27696376.188581098,174368910.0326931,50,25,0
Z3,30,1,720,6872.0,0.027662,248427.445593,254512.0,1.0,2,6.2e-05,49685.489119,49685.489119,9179187.5831922,23846440.9676034,1243249.6094541,27696376.188581098,174368910.0326931,50,25,0
Z3,31,1,720,6872.0,0.066506,103329.022945,104120.0,1.0,2,6.2e-05,20665.804589,20665.804589,9179187.5831922,23846440.9676034,1243249.6094541,27696376.188581098,174368910.0326931,50,25,0
Z3,32,1,720,6376.0,0.035698,178609.445907,182168.0,1.0,2,6.2e-05,35721.889181,35721.889181,9179187.5831922,23846440.9676034,1243249.6094541,27696376.188581098,174368910.0326931,50,25,0
Z3,33,1,720,6872.0,0.066771,102918.931872,104120.0,1.0,2,6.2e-05,20583.786374,20583.786374,9179187.5831922,23846440.9676034,1243249.6094541,27696376.188581098,174368910.0326931,50,25,0
Z3,34,1,720,6872.0,0.062452,110036.508038,110832.0,1.0,2,6.2e-05,22007.301608,22007.301608,9179187.5831922,23846440.9676034,1243249.6094541,27696376.188581098,174368910.0326931,50,25,0
Z3,35,1,720,6376.0,0.075773,84146.067861,85008.0,1.0,2,6.2e-05,16829.213572,16829.213572,9179187.5831922,23846440.9676034,1243249.6094541,27696376.188581098,174368910.0326931,50,25,0
Z3,36,1,720,6872.0,0.044199,155478.630738,156176.0,1.0,2,6.2e-05,31095.726148,31095.726148,9179187.5831922,23846440.9676034,1243249.6094541,27696376.188581098,174368910.0326931,50,25,0
Z3,37,1,720,6872.0,0.055426,123985.133331,124944.0,1.0,2,6.2e-05,24797.026666,24797.026666,9179187.5831922,23846440.9676034,1243249.6094541,27696376.188581098,174368910.0326931,50,25,0
Z3,38,1,720,6376.0,0.05652,112809.624912,113856.0,1.0,2,6.2e-05,22561.924982,22561.924982,9179187.5831922,23846440.9676034,1243249.6094541,27696376.188581098,174368910.0326931,50,25,0
Z1,0,2,720,7080.0,0.155676,45479.071919,45672.0,1.0,2,2.977095,31657.739366,31657.739366,9179187.5831922,23846440.9676034,1243249.6094541,27696376.188581098,174368910.0326931,50,25,0
