Zone, Tile_no, Seg_no, Reso, Seg_d_size, Seg_d_time, Bitrate, Bitrate1, Buf_lev, Buf_limit, Elapsed, Ref_vp, Local_avg,QoE,QoE1,Z1,Z2,Z3,delay,jitter,loss
Z1,0,1,720,9960.0,0.173605,57371.619481,57568.0,1.0,2,6.1e-05,57371.619481,57371.619481,7113027.512442099,20340655.766073003,721049.1401734,22027643.714402396,154303926.2507114,50,0,3
Z2,0,1,720,8952.0,0.174793,51214.865584,51448.0,1.0,2,6.1e-05,25607.432792,25607.432792,7113027.512442099,20340655.766073003,721049.1401734,22027643.714402396,154303926.2507114,50,0,3
Z2,1,1,720,5424.0,0.050966,106423.890437,108480.0,1.0,2,6.1e-05,35474.630146,35474.630146,7113027.512442099,20340655.766073003,721049.1401734,22027643.714402396,154303926.2507114,50,0,3
Z2,2,1,720,7080.0,0.050958,138937.948899,141600.0,1.0,2,6.1e-05,34734.487225,34734.487225,7113027.512442099,20340655.766073003,721049.1401734,22027643.714402396,154303926.2507114,50,0,3
Z2,3,1,720,18976.0,0.051065,371604.81739,372072.0,1.0,2,6.1e-05,74320.963478,74320.963478,7113027.512442099,20340655.766073003,721049.1401734,22027643.714402396,154303926.2507114,50,0,3
Z2,4,1,720,8720.0,0.05101,170946.873162,170976.0,1.0,2,6.1e-05,34189.374632,34189.374632,7113027.512442099,20340655.766073003,721049.1401734,22027643.714402396,154303926.2507114,50,0,3
Z2,5,1,720,8336.0,0.051044,163310.085417,163448.0,1.0,2,6.1e-05,32662.017083,32662.017083,7113027.512442099,20340655.766073003,721049.1401734,22027643.714402396,154303926.2507114,50,0,3
Z2,6,1,720,6376.0,0.050859,125366.208537,127520.0,1.0,2,6.1e-05,25073.241707,25073.241707,7113027.512442099,20340655.766073003,721049.1401734,22027643.714402396,154303926.2507114,50,0,3
Z2,7,1,720,6872.0,0.050929,134932.945866,137440.0,1.0,2,6.1e-05,26986.589173,26986.589173,7113027.512442099,20340655.766073003,721049.1401734,22027643.714402396,154303926.2507114,50,0,3
Z3,0,1,720,7080.0,0.173505,40805.740469,40920.0,1.0,2,6.1e-05,8161.148094,8161.148094,7113027.512442099,20340655.766073003,721049.1401734,22027643.714402396,154303926.2507114,50,0,3
Z3,1,1,720,7080.0,0.050886,139134.536022,141600.0,1.0,2,6.1e-05,27826.907204,27826.907204,7113027.512442099,20340655.766073003,721049.1401734,22027643.714402396,154303926.2507114,50,0,3
Z3,2,1,720,5664.0,0.050923,111226.754119,113280.0,1.0,2,6.1e-05,22245.350824,22245.350824,7113027.512442099,20340655.766073003,721049.1401734,22027643.714402396,154303926.2507114,50,0,3
Z3,3,1,720,7080.0,0.050964,138921.591712,141600.0,1.0,2,6.1e-05,27784.318342,27784.318342,7113027.512442099,20340655.766073003,721049.1401734,22027643.714402396,154303926.2507114,50,0,3
Z3,4,1,720,7080.0,0.05094,138987.043581,141600.0,1.0,2,6.1e-05,27797.408716,27797.408716,7113027.512442099,20340655.766073003,721049.1401734,22027643.714402396,154303926.2507114,50,0,3
Z3,5,1,720,5664.0,0.050955,111156.90315,113280.0,1.0,2,6.1e-05,22231.38063,22231.38063,7113027.512442099,20340655.766073003,721049.1401734,22027643.714402396,154303926.2507114,50,0,3
Z3,6,1,720,7080.0,0.050919,139044.364579,141600.0,1.0,2,6.1e-05,27808.872916,27808.872916,7113027.512442099,20340655.766073003,721049.1401734,22027643.714402396,154303926.2507114,50,0,3
Z3,7,1,720,7080.0,0.050945,138973.402689,141600.0,1.0,2,6.1e-05,27794.680538,27794.680538,7113027.512442099,20340655.766073003,721049.1401734,22027643.714402396,154303926.2507114,50,0,3
Z3,8,1,720,5664.0,0.050914,111246.415524,113280.0,1.0,2,6.1e-05,22249.283105,22249.283105,7113027.512442099,20340655.766073003,721049.1401734,22027643.714402396,154303926.2507114,50,0,3
Z3,9,1,720,7080.0,0.050937,138995.229401,141600.0,1.0,2,6.1e-05,27799.04588,27799.04588,7113027.512442099,20340655.766073003,721049.1401734,22027643.714402396,154303926.2507114,50,0,3
Z3,10,1,720,12904.0,0.053401,241643.414917,243464.0,1.0,2,6.1e-05,48328.682983,48328.682983,7113027.512442099,20340655.766073003,721049.1401734,22027643.714402396,154303926.2507114,50,0,3
Z3,11,1,720,17344.0,0.050921,340606.036802,346880.0,1.0,2,6.1e-05,68121.20736,68121.20736,7113027.512442099,20340655.766073003,721049.1401734,22027643.714402396,154303926.2507114,50,0,3
Z3,12,1,720,16912.0,0.051046,331309.015398,331600.0,1.0,2,6.1e-05,66261.80308,66261.80308,7113027.512442099,20340655.766073003,721049.1401734,22027643.714402396,154303926.2507114,50,0,3
Z3,13,1,720,13240.0,0.05099,259658.756619,264800.0,1.0,2,6.1e-05,51931.751324,51931.751324,7113027.512442099,20340655.766073003,721049.1401734,22027643.714402396,154303926.2507114,50,0,3
Z3,14,1,720,28328.0,0.051102,554342.295801,555448.0,1.0,2,6.1e-05,110868.45916,110868.45916,7113027.512442099,20340655.766073003,721049.1401734,22027643.714402396,154303926.2507114,50,0,3
Z3,15,1,720,30528.0,0.051009,598482.620714,598584.0,1.0,2,6.1e-05,119696.524143,119696.524143,7113027.512442099,20340655.766073003,721049.1401734,22027643.714402396,154303926.2507114,50,0,3
Z3,16,1,720,16360.0,0.050986,320872.396344,327200.0,1.0,2,6.1e-05,64174.479269,64174.479269,7113027.512442099,20340655.766073003,721049.1401734,22027643.714402396,154303926.2507114,50,0,3
Z3,17,1,720,33216.0,0.051093,650108.625448,651288.0,1.0,2,6.1e-05,130021.72509,130021.72509,7113027.512442099,20340655.766073003,721049.1401734,22027643.714402396,154303926.2507114,50,0,3
Z3,18,1,720,28000.0,0.051059,548385.201434,549016.0,1.0,2,6.1e-05,109677.040287,109677.040287,7113027.512442099,20340655.766073003,721049.1401734,22027643.714402396,154303926.2507114,50,0,3
Z3,19,1,720,15744.0,0.051013,308627.212671,308704.0,1.0,2,6.1e-05,61725.442534,61725.442534,7113027.512442099,20340655.766073003,721049.1401734,22027643.714402396,154303926.2507114,50,0,3
Z3,20,1,720,16024.0,0.051026,314035.981656,314192.0,1.0,2,6.1e-05,62807.196331,62807.196331,7113027.512442099,20340655.766073003,721049.1401734,22027643.714402396,154303926.2507114,50,0,3
Z3,21,1,720,11576.0,0.05097,227113.988621,231520.0,1.0,2,6.1e-05,45422.797724,45422.797724,7113027.512442099,20340655.766073003,721049.1401734,22027643.714402396,154303926.2507114,50,0,3
Z3,22,1,720,10816.0,0.051013,212024.385941,212072.0,1.0,2,6.1e-05,42404.877188,42404.877188,7113027.512442099,20340655.766073003,721049.1401734,22027643.714402396,154303926.2507114,50,0,3
Z3,23,1,720,13224.0,0.050971,259441.643287,264480.0,1.0,2,6.1e-05,51888.328657,51888.328657,7113027.512442099,20340655.766073003,721049.1401734,22027643.714402396,154303926.2507114,50,0,3
Z3,24,1,720,17528.0,0.051029,343490.956123,343680.0,1.0,2,6.1e-05,68698.191225,68698.191225,7113027.512442099,20340655.766073003,721049.1401734,22027643.714402396,154303926.2507114,50,0,3
Z3,25,1,720,23824.0,0.050947,467623.216284,476480.0,1.0,2,6.1e-05,93524.643257,93524.643257,7113027.512442099,20340655.766073003,721049.1401734,22027643.714402396,154303926.2507114,50,0,3
Z3,26,1,720,11024.0,0.051006,216131.435517,216152.0,1.0,2,6.1e-05,43226.287103,43226.287103,7113027.512442099,20340655.766073003,721049.1401734,22027643.714402396,154303926.2507114,50,0,3
Z3,27,1,720,15112.0,0.050923,296761.777586,302240.0,1.0,2,6.1e-05,59352.355517,59352.355517,7113027.512442099,20340655.766073003,721049.1401734,22027643.714402396,154303926.2507114,50,0,3
Z3,28,1,720,24552.0,0.050977,481628.969928,491040.0,1.0,2,6.1e-05,96325.793986,96325.793986,7113027.512442099,20340655.766073003,721049.1401734,22027643.714402396,154303926.2507114,50,0,3
Z3,29,1,720,10824.0,0.21447,50468.597007,50576.0,1.0,2,6.1e-05,10093.719401,10093.719401,7113027.512442099,20340655.766073003,721049.1401734,22027643.714402396,154303926.2507114,50,0,3
Z3,30,1,720,6872.0,0.050905,134996.562224,137440.0,1.0,2,6.1e-05,26999.312445,26999.312445,7113027.512442099,20340655.766073003,721049.1401734,22027643.714402396,154303926.2507114,50,0,3
Z3,31,1,720,6872.0,0.050961,134848.217264,137440.0,1.0,2,6.1e-05,26969.643453,26969.643453,7113027.512442099,20340655.766073003,721049.1401734,22027643.714402396,154303926.2507114,50,0,3
Z3,32,1,720,6376.0,0.050943,125159.491981,127520.0,1.0,2,6.1e-05,25031.898396,25031.898396,7113027.512442099,20340655.766073003,721049.1401734,22027643.714402396,154303926.2507114,50,0,3
Z3,33,1,720,6872.0,0.05092,134956.794973,137440.0,1.0,2,6.1e-05,26991.358995,26991.358995,7113027.512442099,20340655.766073003,721049.1401734,22027643.714402396,154303926.2507114,50,0,3
Z3,34,1,720,6872.0,0.050945,134890.56826,137440.0,1.0,2,6.1e-05,26978.113652,26978.113652,7113027.512442099,20340655.766073003,721049.1401734,22027643.714402396,154303926.2507114,50,0,3
Z3,35,1,720,6376.0,0.050866,125348.956081,127520.0,1.0,2,6.1e-05,25069.791216,25069.791216,7113027.512442099,20340655.766073003,721049.1401734,22027643.714402396,154303926.2507114,50,0,3
Z3,36,1,720,6872.0,0.05094,134903.808402,137440.0,1.0,2,6.1e-05,26980.76168,26980.76168,7113027.512442099,20340655.766073003,721049.1401734,22027643.714402396,154303926.2507114,50,0,3
Z3,37,1,720,6872.0,0.05095,134877.330716,137440.0,1.0,2,6.1e-05,26975.466143,26975.466143,7113027.512442099,20340655.766073003,721049.1401734,22027643.714402396,154303926.2507114,50,0,3
Z3,38,1,720,6376.0,0.050943,125159.491981,127520.0,1.0,2,6.1e-05,25031.898396,25031.898396,7113027.512442099,20340655.766073003,721049.1401734,22027643.714402396,154303926.2507114,50,0,3
Z1,0,2,720,7080.0,0.171967,41170.689725,41400.0,1.0,2,2.988603,33266.036341,33266.036341,7113027.512442099,20340655.766073003,721049.1401734,22027643.714402396,154303926.2507114,50,0,3
Z2,0,2,720,6624.0,0.173637,38148.551288,38288.0,1.0,2,2.988603,32661.608654,32661.608654,7113027.512442099,20340655.766073003,721049.1401734,22027643.714402396,154303926.2507114,50,0,3
Z2,1,2,720,5424.0,0.050925,106509.572901,108480.0,1.0,2,2.988603,46333.812977,46333.812977,7113027.512442099,20340655.766073003,721049.1401734,22027643.714402396,154303926.2507114,50,0,3
