Zone, Tile_no, Seg_no, Reso, Seg_d_size, Seg_d_time, Bitrate, Bitrate1, Buf_lev, Buf_limit, Elapsed, Ref_vp, Local_avg
Z1, 0, 1, 720, 9960.000000, 0.167966, 59297.715014, 59640.000000, 1.000000, 2, 0.000067, 59297.715014, 59297.715014
Z2, 0, 1, 720, 8952.000000, 0.181762, 49251.218627, 49456.000000, 1.000000, 2, 0.000067, 24625.609313, 24625.609313
Z2, 1, 1, 720, 5424.000000, 0.031265, 173484.727331, 174960.000000, 1.000000, 2, 0.000067, 57828.242444, 57828.242444
Z2, 2, 1, 720, 7080.000000, 0.061388, 115331.986707, 116064.000000, 1.000000, 2, 0.000067, 28832.996677, 28832.996677
Z2, 3, 1, 720, 18976.000000, 0.072811, 260619.961270, 263552.000000, 1.000000, 2, 0.000067, 52123.992254, 52123.992254
Z2, 4, 1, 720, 8720.000000, 0.059414, 146766.755310, 147792.000000, 1.000000, 2, 0.000067, 29353.351062, 29353.351062
Z2, 5, 1, 720, 8336.000000, 0.053519, 155757.768269, 157280.000000, 1.000000, 2, 0.000067, 31151.553654, 31151.553654
Z2, 6, 1, 720, 6376.000000, 0.063375, 100607.495069, 101200.000000, 1.000000, 2, 0.000067, 20121.499014, 20121.499014
Z2, 7, 1, 720, 6872.000000, 0.059753, 115006.777902, 116472.000000, 1.000000, 2, 0.000067, 23001.355580, 23001.355580
Z3, 0, 1, 720, 7080.000000, 0.188797, 37500.595878, 37656.000000, 1.000000, 2, 0.000067, 7500.119176, 7500.119176
Z3, 1, 1, 720, 7080.000000, 0.039723, 178234.272336, 181536.000000, 1.000000, 2, 0.000067, 35646.854467, 35646.854467
Z3, 2, 1, 720, 5664.000000, 0.055172, 102660.769956, 102976.000000, 1.000000, 2, 0.000067, 20532.153991, 20532.153991
Z3, 3, 1, 720, 7080.000000, 0.074098, 95549.137629, 95672.000000, 1.000000, 2, 0.000067, 19109.827526, 19109.827526
Z3, 4, 1, 720, 7080.000000, 0.030355, 233239.993411, 236000.000000, 1.000000, 2, 0.000067, 46647.998682, 46647.998682
Z3, 5, 1, 720, 5664.000000, 0.032521, 174164.386089, 177000.000000, 1.000000, 2, 0.000067, 34832.877218, 34832.877218
Z3, 6, 1, 720, 7080.000000, 0.073679, 96092.509399, 96984.000000, 1.000000, 2, 0.000067, 19218.501880, 19218.501880
Z3, 7, 1, 720, 7080.000000, 0.027172, 260562.343589, 262216.000000, 1.000000, 2, 0.000067, 52112.468718, 52112.468718
Z3, 8, 1, 720, 5664.000000, 0.071108, 79653.484840, 79768.000000, 1.000000, 2, 0.000067, 15930.696968, 15930.696968
Z3, 9, 1, 720, 7080.000000, 0.075115, 94255.474938, 94400.000000, 1.000000, 2, 0.000067, 18851.094988, 18851.094988
Z3, 10, 1, 720, 12904.000000, 0.061348, 210341.005412, 211536.000000, 1.000000, 2, 0.000067, 42068.201082, 42068.201082
Z3, 11, 1, 720, 17344.000000, 0.063250, 274213.438735, 275296.000000, 1.000000, 2, 0.000067, 54842.687747, 54842.687747
Z3, 12, 1, 720, 16912.000000, 0.038406, 440347.862313, 445048.000000, 1.000000, 2, 0.000067, 88069.572463, 88069.572463
Z3, 13, 1, 720, 13240.000000, 0.046332, 285763.619097, 287824.000000, 1.000000, 2, 0.000067, 57152.723819, 57152.723819
